Gender,Age_Group,Marital_Status,Income_Level,Time_of_Day,Day,Location,Cuisine_Type
Male,35-44,Married,Low,Late Night,Saturday,Gunadala,Fast Food
Female,25-34,Divorced,High,Lunch,Friday,Benz Circle,Fast Food
Female,18-24,Divorced,Low,Breakfast,Saturday,MG Road,Chinese
Male,45-54,Divorced,Upper-Middle,Late Night,Tuesday,Bhavanipuram,Chinese
Other,35-44,Married,Upper-Middle,Breakfast,Tuesday,Poranki,Bakery
Male,35-44,Divorced,Upper-Middle,Snack,Friday,Governorpet,South Indian
Female,55-64,Single,High,Lunch,Wednesday,Benz Circle,Fast Food
Other,18-24,Divorced,Upper-Middle,Lunch,Wednesday,Poranki,Continental
Other,55-64,Divorced,Middle,Dinner,Monday,Gunadala,South Indian
Male,45-54,Married,Low,Lunch,Saturday,Bhavanipuram,Biryani
Female,18-24,Divorced,Upper-Middle,Lunch,Saturday,Auto Nagar,Biryani
Other,35-44,Married,High,Dinner,Saturday,Governorpet,South Indian
Other,35-44,Single,Middle,Lunch,Friday,Poranki,Bakery
Other,25-34,Divorced,Upper-Middle,Late Night,Thursday,Benz Circle,Fast Food
Female,55-64,Single,Middle,Lunch,Saturday,One Town,Biryani
Other,55-64,Widowed,Low,Late Night,Monday,Gunadala,Fast Food
Other,35-44,Married,Middle,Breakfast,Tuesday,Patamata,Continental
Male,55-64,Divorced,Low,Lunch,Tuesday,Ramachandra Nagar,North Indian
Female,55-64,Single,Upper-Middle,Lunch,Wednesday,Bhavanipuram,Biryani
Other,35-44,Divorced,Upper-Middle,Late Night,Sunday,Auto Nagar,Biryani
Male,18-24,Single,Low,Late Night,Monday,Auto Nagar,Fast Food
Female,55-64,Single,Middle,Breakfast,Thursday,Governorpet,South Indian
Female,18-24,Divorced,Middle,Late Night,Friday,MG Road,Chinese
Other,55-64,Widowed,Middle,Snack,Friday,Gunadala,South Indian
Female,18-24,Married,High,Dinner,Sunday,Auto Nagar,Biryani
Other,55-64,Single,High,Lunch,Saturday,Auto Nagar,Biryani
Male,35-44,Single,Middle,Snack,Saturday,Gunadala,South Indian
Other,18-24,Widowed,High,Breakfast,Friday,Bhavanipuram,South Indian
Female,45-54,Married,Low,Dinner,Friday,Governorpet,South Indian
Male,35-44,Widowed,Low,Snack,Sunday,Patamata,Continental
Male,45-54,Widowed,Middle,Dinner,Tuesday,Ramachandra Nagar,North Indian
Male,18-24,Single,Upper-Middle,Lunch,Tuesday,Ramachandra Nagar,Biryani
Female,18-24,Widowed,Low,Lunch,Friday,MG Road,Chinese
Male,55-64,Divorced,Middle,Breakfast,Friday,Benz Circle,Fast Food
Male,25-34,Widowed,Low,Dinner,Friday,One Town,Biryani
Female,55-64,Divorced,Low,Late Night,Sunday,Benz Circle,Street Food
Female,55-64,Single,Middle,Lunch,Sunday,MG Road,Chinese
Female,45-54,Single,High,Snack,Wednesday,Bhavanipuram,Biryani
Female,18-24,Single,High,Late Night,Tuesday,One Town,Street Food
Female,55-64,Married,Middle,Dinner,Thursday,Benz Circle,Fast Food
Male,18-24,Married,Middle,Late Night,Friday,Gunadala,Fast Food
Male,25-34,Married,Upper-Middle,Lunch,Friday,Auto Nagar,Biryani
Male,35-44,Single,Middle,Lunch,Tuesday,One Town,Street Food
Male,55-64,Divorced,Middle,Snack,Monday,Benz Circle,Fast Food
Male,35-44,Single,Middle,Dinner,Saturday,Governorpet,South Indian
Other,18-24,Divorced,Low,Lunch,Saturday,Bhavanipuram,Biryani
Other,18-24,Widowed,High,Lunch,Tuesday,Ramachandra Nagar,North Indian
Female,45-54,Single,Low,Dinner,Friday,Gunadala,South Indian
Other,55-64,Widowed,Low,Dinner,Sunday,Gunadala,Street Food
Male,45-54,Divorced,Low,Late Night,Monday,One Town,Street Food
Male,18-24,Widowed,Upper-Middle,Lunch,Saturday,Poranki,Biryani
Female,35-44,Widowed,Low,Late Night,Friday,Governorpet,South Indian
Other,18-24,Married,High,Snack,Friday,Benz Circle,Fast Food
Female,35-44,Married,Middle,Snack,Tuesday,Governorpet,Street Food
Other,25-34,Divorced,Low,Dinner,Monday,Auto Nagar,Street Food
Female,18-24,Widowed,Middle,Late Night,Saturday,Bhavanipuram,Biryani
Female,18-24,Divorced,Low,Late Night,Thursday,One Town,Street Food
Male,55-64,Divorced,High,Late Night,Monday,One Town,Street Food
Female,35-44,Married,Low,Breakfast,Friday,Governorpet,South Indian
Female,35-44,Married,Upper-Middle,Snack,Saturday,Auto Nagar,Street Food
Other,25-34,Widowed,High,Snack,Friday,Governorpet,Street Food
Male,55-64,Married,High,Snack,Wednesday,Benz Circle,Street Food
Female,45-54,Widowed,Upper-Middle,Breakfast,Wednesday,Gunadala,South Indian
Other,55-64,Single,Upper-Middle,Dinner,Sunday,Patamata,Continental
Female,55-64,Divorced,Middle,Breakfast,Tuesday,Patamata,Continental
Other,25-34,Divorced,High,Late Night,Monday,MG Road,Fast Food
Male,45-54,Widowed,Middle,Lunch,Wednesday,Gunadala,South Indian
Female,45-54,Widowed,High,Snack,Sunday,Patamata,Continental
Male,35-44,Single,High,Lunch,Thursday,Ramachandra Nagar,Biryani
Female,35-44,Single,Low,Late Night,Thursday,MG Road,Chinese
Other,35-44,Single,Middle,Dinner,Wednesday,Ramachandra Nagar,North Indian
Male,55-64,Single,High,Dinner,Sunday,Bhavanipuram,Biryani
Male,35-44,Married,Low,Lunch,Thursday,Patamata,Biryani
Female,35-44,Married,Middle,Breakfast,Tuesday,Bhavanipuram,Biryani
Other,45-54,Single,Middle,Late Night,Friday,Poranki,Bakery
Female,18-24,Married,Low,Breakfast,Friday,MG Road,Chinese
Male,45-54,Married,Low,Breakfast,Tuesday,One Town,South Indian
Female,18-24,Divorced,Upper-Middle,Snack,Wednesday,Bhavanipuram,Biryani
Female,35-44,Divorced,Upper-Middle,Breakfast,Wednesday,Gunadala,South Indian
Male,55-64,Widowed,Low,Snack,Sunday,Governorpet,Street Food
Male,25-34,Widowed,Middle,Late Night,Monday,Governorpet,South Indian
Male,25-34,Married,Upper-Middle,Dinner,Saturday,Patamata,Biryani
Male,18-24,Widowed,Upper-Middle,Lunch,Thursday,Patamata,Biryani
Female,45-54,Divorced,Upper-Middle,Dinner,Sunday,Poranki,Biryani
Male,55-64,Married,Upper-Middle,Dinner,Monday,One Town,Street Food
Female,35-44,Single,Low,Late Night,Friday,Benz Circle,Fast Food
Female,35-44,Married,Middle,Snack,Friday,Poranki,Street Food
Male,18-24,Divorced,Low,Snack,Friday,One Town,Street Food
Male,45-54,Divorced,Middle,Lunch,Saturday,Poranki,Biryani
Other,55-64,Single,Low,Lunch,Wednesday,Bhavanipuram,Biryani
Other,18-24,Widowed,Low,Dinner,Tuesday,Benz Circle,Biryani
Other,55-64,Married,High,Lunch,Thursday,Governorpet,South Indian
Other,35-44,Married,Middle,Snack,Saturday,Governorpet,South Indian
Female,18-24,Widowed,Upper-Middle,Snack,Friday,Benz Circle,Fast Food
Male,55-64,Single,Upper-Middle,Dinner,Sunday,Governorpet,Bakery
Other,35-44,Single,Low,Breakfast,Tuesday,Governorpet,South Indian
Other,45-54,Widowed,High,Breakfast,Thursday,Auto Nagar,South Indian
Female,25-34,Single,High,Dinner,Wednesday,Benz Circle,Fast Food
Other,45-54,Widowed,Upper-Middle,Snack,Thursday,MG Road,Street Food
Female,45-54,Married,High,Breakfast,Sunday,Benz Circle,Bakery
Female,35-44,Widowed,Middle,Lunch,Tuesday,Bhavanipuram,Biryani
Male,45-54,Divorced,Low,Late Night,Sunday,Gunadala,South Indian
Male,45-54,Married,Middle,Lunch,Sunday,Ramachandra Nagar,Continental
Male,55-64,Widowed,Middle,Lunch,Friday,Patamata,Continental
Female,55-64,Widowed,High,Lunch,Thursday,Auto Nagar,Biryani
Other,18-24,Divorced,Middle,Breakfast,Sunday,Ramachandra Nagar,South Indian
Male,35-44,Married,Low,Dinner,Monday,One Town,Biryani
Other,25-34,Single,Upper-Middle,Late Night,Wednesday,Auto Nagar,Biryani
Female,18-24,Single,Middle,Dinner,Monday,One Town,South Indian
Female,55-64,Divorced,Upper-Middle,Snack,Friday,MG Road,Chinese
Female,18-24,Widowed,High,Breakfast,Wednesday,Patamata,Continental
Female,55-64,Married,High,Breakfast,Wednesday,Ramachandra Nagar,North Indian
Male,18-24,Widowed,Middle,Snack,Tuesday,Patamata,Continental
Male,55-64,Married,Upper-Middle,Lunch,Saturday,Governorpet,South Indian
Other,45-54,Divorced,Low,Lunch,Sunday,Auto Nagar,Biryani
Male,45-54,Single,Low,Dinner,Friday,Ramachandra Nagar,Biryani
Female,18-24,Widowed,Upper-Middle,Breakfast,Tuesday,Ramachandra Nagar,North Indian
Other,18-24,Divorced,High,Breakfast,Thursday,Poranki,South Indian
Female,45-54,Divorced,High,Snack,Sunday,Ramachandra Nagar,Street Food
Female,45-54,Single,High,Lunch,Friday,Poranki,Bakery
Male,25-34,Widowed,High,Late Night,Tuesday,Patamata,Continental
Other,35-44,Divorced,High,Snack,Wednesday,Patamata,Continental
Female,45-54,Widowed,Middle,Dinner,Wednesday,Poranki,Biryani
Female,45-54,Widowed,Upper-Middle,Breakfast,Thursday,MG Road,Chinese
Female,45-54,Single,High,Lunch,Saturday,Ramachandra Nagar,Biryani
Other,18-24,Divorced,Upper-Middle,Late Night,Sunday,Gunadala,South Indian
Male,55-64,Married,Upper-Middle,Lunch,Thursday,Bhavanipuram,Street Food
Other,55-64,Single,Low,Snack,Tuesday,Bhavanipuram,Fast Food
Female,55-64,Widowed,High,Late Night,Monday,Patamata,Continental
Female,45-54,Single,Low,Late Night,Friday,Bhavanipuram,Fast Food
Other,55-64,Single,Low,Snack,Thursday,Benz Circle,Fast Food
Other,35-44,Married,Upper-Middle,Snack,Sunday,Governorpet,South Indian
Male,25-34,Single,Upper-Middle,Snack,Friday,MG Road,Chinese
Female,18-24,Married,High,Lunch,Friday,MG Road,Chinese
Female,35-44,Widowed,Middle,Late Night,Wednesday,Auto Nagar,Fast Food
Other,45-54,Widowed,Low,Lunch,Sunday,Gunadala,Biryani
Male,45-54,Single,Middle,Snack,Wednesday,Bhavanipuram,Biryani
Female,55-64,Divorced,Middle,Lunch,Thursday,Governorpet,Biryani
Male,25-34,Single,Upper-Middle,Snack,Saturday,Ramachandra Nagar,North Indian
Female,25-34,Married,Upper-Middle,Lunch,Tuesday,Patamata,Continental
Male,55-64,Married,Low,Snack,Wednesday,MG Road,Chinese
Female,25-34,Widowed,Middle,Breakfast,Friday,MG Road,South Indian
Female,18-24,Single,High,Snack,Sunday,Ramachandra Nagar,Street Food
Male,45-54,Single,Middle,Lunch,Friday,Bhavanipuram,Biryani
Female,35-44,Married,Middle,Late Night,Wednesday,Poranki,Bakery
Other,18-24,Married,Low,Snack,Friday,Gunadala,South Indian
Female,18-24,Divorced,Middle,Breakfast,Tuesday,Patamata,Continental
Other,25-34,Married,Upper-Middle,Lunch,Monday,Bhavanipuram,Bakery
Other,18-24,Divorced,Middle,Late Night,Thursday,Patamata,Fast Food
Female,55-64,Widowed,Upper-Middle,Dinner,Sunday,Auto Nagar,North Indian
Other,45-54,Widowed,Low,Lunch,Thursday,Ramachandra Nagar,North Indian
Female,45-54,Divorced,Middle,Late Night,Thursday,Gunadala,Fast Food
Other,55-64,Married,Upper-Middle,Dinner,Friday,Governorpet,South Indian
Female,55-64,Married,Upper-Middle,Lunch,Friday,Ramachandra Nagar,Biryani
Other,35-44,Married,High,Dinner,Wednesday,Auto Nagar,Biryani
Female,55-64,Married,High,Late Night,Wednesday,Governorpet,Street Food
Other,18-24,Divorced,Low,Snack,Saturday,Bhavanipuram,Biryani
Other,18-24,Married,High,Breakfast,Tuesday,Bhavanipuram,Biryani
Male,18-24,Divorced,High,Lunch,Tuesday,Patamata,Continental
Other,25-34,Widowed,Low,Late Night,Saturday,Benz Circle,Fast Food
Male,35-44,Married,Low,Late Night,Sunday,Bhavanipuram,Biryani
Male,35-44,Divorced,High,Snack,Wednesday,Poranki,Bakery
Female,45-54,Widowed,Middle,Lunch,Thursday,Gunadala,South Indian
Male,25-34,Widowed,Upper-Middle,Lunch,Monday,Poranki,Bakery
Other,35-44,Single,Middle,Dinner,Sunday,Gunadala,South Indian
Female,25-34,Single,Low,Lunch,Tuesday,MG Road,Chinese
Male,45-54,Widowed,Middle,Breakfast,Tuesday,One Town,Street Food
Female,45-54,Divorced,Middle,Snack,Saturday,One Town,Street Food
Female,25-34,Divorced,Middle,Dinner,Tuesday,Gunadala,Biryani
Male,35-44,Single,Low,Lunch,Monday,Benz Circle,Fast Food
Male,55-64,Single,Middle,Breakfast,Thursday,Poranki,Bakery
Other,45-54,Married,Upper-Middle,Snack,Friday,Auto Nagar,Biryani
Female,55-64,Widowed,Upper-Middle,Late Night,Friday,MG Road,Chinese
Female,18-24,Single,Middle,Breakfast,Tuesday,Auto Nagar,Biryani
Other,55-64,Single,High,Late Night,Friday,MG Road,Chinese
Male,25-34,Married,Upper-Middle,Breakfast,Tuesday,Governorpet,South Indian
Other,45-54,Widowed,Upper-Middle,Dinner,Thursday,Poranki,Bakery
Male,45-54,Single,Middle,Late Night,Thursday,Poranki,Bakery
Female,25-34,Widowed,Upper-Middle,Breakfast,Thursday,Governorpet,South Indian
Other,45-54,Married,High,Lunch,Friday,Ramachandra Nagar,Biryani
Other,18-24,Married,Upper-Middle,Lunch,Friday,Gunadala,Biryani
Female,55-64,Divorced,Upper-Middle,Snack,Tuesday,MG Road,Chinese
Male,35-44,Widowed,Middle,Breakfast,Wednesday,Patamata,Continental
Male,25-34,Single,Upper-Middle,Dinner,Wednesday,MG Road,Biryani
Other,25-34,Widowed,High,Late Night,Wednesday,Poranki,Bakery
Male,35-44,Single,Upper-Middle,Late Night,Sunday,Auto Nagar,Chinese
Male,18-24,Divorced,Low,Snack,Friday,Gunadala,South Indian
Other,18-24,Single,Low,Dinner,Tuesday,Bhavanipuram,Biryani
Other,35-44,Married,Upper-Middle,Snack,Thursday,Gunadala,North Indian
Other,18-24,Married,Middle,Lunch,Thursday,Bhavanipuram,Biryani
Female,18-24,Single,Middle,Snack,Thursday,Poranki,Bakery
Male,45-54,Married,High,Snack,Friday,Gunadala,South Indian
Female,55-64,Divorced,Upper-Middle,Late Night,Saturday,Ramachandra Nagar,Fast Food
Other,45-54,Single,High,Lunch,Sunday,One Town,Street Food
Other,18-24,Widowed,Upper-Middle,Snack,Wednesday,Benz Circle,Street Food
Female,55-64,Married,High,Lunch,Sunday,MG Road,Chinese
Other,45-54,Widowed,Middle,Lunch,Saturday,Bhavanipuram,Biryani
Female,25-34,Married,Low,Late Night,Saturday,Auto Nagar,Fast Food
Other,25-34,Widowed,Low,Snack,Wednesday,Gunadala,South Indian
Female,55-64,Single,Middle,Breakfast,Sunday,One Town,Street Food
Female,18-24,Single,Low,Late Night,Friday,Bhavanipuram,Biryani
Male,25-34,Widowed,Low,Late Night,Thursday,Ramachandra Nagar,North Indian
Other,25-34,Widowed,High,Snack,Thursday,Auto Nagar,Biryani
Male,25-34,Married,High,Lunch,Monday,Poranki,Biryani
Male,25-34,Widowed,Low,Dinner,Wednesday,Governorpet,South Indian
Female,45-54,Widowed,High,Breakfast,Wednesday,Poranki,South Indian
Male,18-24,Married,Low,Snack,Tuesday,MG Road,Chinese
Female,55-64,Married,Low,Breakfast,Thursday,One Town,South Indian
Female,45-54,Married,Middle,Late Night,Thursday,MG Road,Chinese
Male,35-44,Divorced,Low,Late Night,Thursday,Poranki,Bakery
Other,18-24,Single,Middle,Late Night,Saturday,One Town,Street Food
Female,35-44,Widowed,High,Dinner,Sunday,Gunadala,South Indian
Male,45-54,Widowed,Low,Late Night,Friday,Benz Circle,Continental
Male,55-64,Married,Upper-Middle,Snack,Friday,One Town,Street Food
Female,18-24,Divorced,Upper-Middle,Breakfast,Saturday,Governorpet,Biryani
Other,45-54,Married,Middle,Snack,Thursday,Ramachandra Nagar,North Indian
Female,55-64,Widowed,Upper-Middle,Snack,Tuesday,Poranki,Bakery
Female,25-34,Married,Middle,Lunch,Thursday,Poranki,North Indian
Other,25-34,Divorced,High,Lunch,Sunday,Benz Circle,Fast Food
Female,25-34,Married,Upper-Middle,Late Night,Saturday,Poranki,Fast Food
Male,18-24,Single,Middle,Breakfast,Monday,One Town,Continental
Female,25-34,Widowed,Upper-Middle,Breakfast,Saturday,Governorpet,South Indian
Female,35-44,Divorced,Middle,Dinner,Friday,Governorpet,South Indian
Other,18-24,Married,Upper-Middle,Breakfast,Thursday,Gunadala,South Indian
Male,18-24,Single,High,Lunch,Friday,Gunadala,Biryani
Female,35-44,Widowed,High,Snack,Saturday,Bhavanipuram,Bakery
Other,18-24,Single,Middle,Breakfast,Saturday,MG Road,Chinese
Female,25-34,Divorced,Upper-Middle,Breakfast,Thursday,Auto Nagar,South Indian
Female,45-54,Single,High,Lunch,Wednesday,Governorpet,South Indian
Other,55-64,Divorced,High,Late Night,Friday,Gunadala,South Indian
Male,45-54,Widowed,Low,Dinner,Sunday,Poranki,Bakery
Other,18-24,Widowed,High,Snack,Friday,Gunadala,Street Food
Male,18-24,Single,Low,Snack,Sunday,Gunadala,South Indian
Male,55-64,Single,Low,Lunch,Wednesday,Auto Nagar,Biryani
Male,18-24,Divorced,Low,Snack,Monday,One Town,Street Food
Female,35-44,Divorced,Upper-Middle,Late Night,Tuesday,One Town,Fast Food
Other,18-24,Single,Middle,Snack,Tuesday,One Town,Street Food
Female,45-54,Married,Upper-Middle,Late Night,Monday,Auto Nagar,Fast Food
Female,55-64,Divorced,Middle,Dinner,Monday,Auto Nagar,Biryani
Other,55-64,Married,Upper-Middle,Dinner,Tuesday,Bhavanipuram,Biryani
Female,55-64,Widowed,Middle,Lunch,Saturday,Gunadala,South Indian
Male,18-24,Widowed,Upper-Middle,Dinner,Sunday,Ramachandra Nagar,Biryani
Other,35-44,Widowed,Upper-Middle,Breakfast,Sunday,Benz Circle,Fast Food
Other,35-44,Married,High,Dinner,Thursday,Poranki,Bakery
Male,18-24,Single,Middle,Snack,Tuesday,Patamata,Continental
Male,35-44,Married,High,Lunch,Wednesday,Patamata,Continental
Female,18-24,Divorced,Upper-Middle,Dinner,Thursday,Auto Nagar,Biryani
Male,25-34,Married,Middle,Late Night,Saturday,Patamata,Fast Food
Other,45-54,Single,High,Breakfast,Sunday,Auto Nagar,Biryani
Other,25-34,Married,High,Late Night,Monday,Benz Circle,Fast Food
Male,18-24,Single,Low,Lunch,Monday,Patamata,Continental
Male,35-44,Married,High,Breakfast,Saturday,Ramachandra Nagar,South Indian
Female,45-54,Divorced,Middle,Breakfast,Tuesday,Gunadala,South Indian
Female,25-34,Divorced,Low,Breakfast,Wednesday,One Town,Street Food
Female,18-24,Married,Upper-Middle,Late Night,Thursday,Auto Nagar,Fast Food
Male,18-24,Divorced,Upper-Middle,Late Night,Thursday,Bhavanipuram,Biryani
Female,35-44,Single,Low,Lunch,Sunday,Governorpet,South Indian
Male,18-24,Single,Upper-Middle,Dinner,Sunday,Patamata,Continental
Female,18-24,Divorced,Low,Lunch,Saturday,Gunadala,Biryani
Female,25-34,Single,Middle,Breakfast,Wednesday,Benz Circle,South Indian
Other,18-24,Widowed,Upper-Middle,Breakfast,Friday,Governorpet,Street Food
Male,55-64,Married,Upper-Middle,Dinner,Thursday,Gunadala,South Indian
Other,35-44,Married,Upper-Middle,Dinner,Monday,Benz Circle,Fast Food
Male,25-34,Married,Upper-Middle,Snack,Monday,Benz Circle,Fast Food
Other,35-44,Single,Upper-Middle,Lunch,Wednesday,Patamata,Continental
Other,35-44,Single,Upper-Middle,Lunch,Saturday,Poranki,Bakery
Female,35-44,Widowed,Low,Dinner,Monday,Ramachandra Nagar,Biryani
Female,55-64,Single,Upper-Middle,Snack,Sunday,Patamata,Street Food
Female,45-54,Married,Upper-Middle,Lunch,Saturday,One Town,Street Food
Female,18-24,Divorced,Low,Dinner,Monday,Patamata,Continental
Female,35-44,Divorced,Upper-Middle,Snack,Tuesday,Gunadala,South Indian
Female,25-34,Married,Upper-Middle,Late Night,Wednesday,Benz Circle,Fast Food
Female,35-44,Single,High,Lunch,Saturday,MG Road,Biryani
Male,55-64,Divorced,Middle,Late Night,Sunday,Governorpet,South Indian
Male,18-24,Widowed,Low,Lunch,Saturday,Auto Nagar,Biryani
Male,35-44,Married,Middle,Dinner,Sunday,Patamata,Continental
Female,25-34,Married,Low,Late Night,Wednesday,Auto Nagar,Biryani
Male,25-34,Widowed,Upper-Middle,Dinner,Monday,Poranki,Bakery
Female,25-34,Single,Upper-Middle,Late Night,Tuesday,Benz Circle,Fast Food
Male,35-44,Married,Middle,Late Night,Sunday,Bhavanipuram,Biryani
Male,45-54,Widowed,High,Snack,Thursday,Bhavanipuram,Biryani
Female,35-44,Married,Upper-Middle,Lunch,Wednesday,Patamata,Continental
Other,35-44,Single,Low,Breakfast,Saturday,Ramachandra Nagar,North Indian
Male,25-34,Single,Upper-Middle,Snack,Saturday,Poranki,Bakery
Other,35-44,Married,Middle,Dinner,Wednesday,Bhavanipuram,Continental
Male,35-44,Single,High,Snack,Monday,Governorpet,South Indian
Male,45-54,Widowed,High,Snack,Wednesday,Governorpet,Street Food
Female,18-24,Widowed,Middle,Snack,Monday,One Town,Street Food
Other,45-54,Widowed,Low,Lunch,Tuesday,One Town,Street Food
Male,25-34,Divorced,High,Dinner,Wednesday,Auto Nagar,Biryani
Other,18-24,Widowed,High,Snack,Thursday,MG Road,Chinese
Female,35-44,Widowed,Low,Snack,Tuesday,Bhavanipuram,Biryani
Other,25-34,Divorced,Low,Late Night,Sunday,Patamata,Continental
Female,18-24,Widowed,High,Dinner,Monday,Gunadala,Bakery
Male,25-34,Widowed,Low,Dinner,Monday,MG Road,Chinese
Male,25-34,Single,Low,Lunch,Tuesday,One Town,Street Food
Other,35-44,Single,Low,Late Night,Saturday,MG Road,Chinese
Male,18-24,Divorced,Low,Breakfast,Tuesday,Ramachandra Nagar,North Indian
Male,55-64,Widowed,Middle,Lunch,Wednesday,Ramachandra Nagar,North Indian
Female,45-54,Widowed,Low,Snack,Friday,Benz Circle,Fast Food
Other,18-24,Single,Low,Breakfast,Thursday,One Town,South Indian
Other,45-54,Single,High,Snack,Saturday,One Town,Street Food
Other,35-44,Married,Upper-Middle,Late Night,Thursday,Ramachandra Nagar,Fast Food
Female,25-34,Single,Low,Lunch,Friday,MG Road,Chinese
Other,55-64,Single,Low,Lunch,Monday,Auto Nagar,Biryani
Female,45-54,Single,Upper-Middle,Dinner,Thursday,Bhavanipuram,Biryani
Female,35-44,Single,High,Dinner,Wednesday,MG Road,Chinese
Other,25-34,Widowed,Low,Snack,Sunday,Poranki,Bakery
Female,25-34,Single,Middle,Late Night,Wednesday,Poranki,Continental
Other,45-54,Single,High,Late Night,Friday,Bhavanipuram,Biryani
Male,25-34,Single,Upper-Middle,Dinner,Sunday,Bhavanipuram,North Indian
Other,18-24,Married,Low,Breakfast,Thursday,Gunadala,Fast Food
Male,18-24,Divorced,Middle,Late Night,Sunday,MG Road,Chinese
Other,35-44,Single,High,Lunch,Tuesday,Patamata,Continental
Female,35-44,Widowed,Low,Lunch,Monday,Bhavanipuram,Biryani
Female,55-64,Single,Middle,Dinner,Saturday,Ramachandra Nagar,North Indian
Male,18-24,Divorced,High,Snack,Friday,Auto Nagar,Biryani
Female,45-54,Divorced,Low,Lunch,Friday,Benz Circle,Biryani
Female,35-44,Widowed,High,Late Night,Wednesday,Governorpet,South Indian
Male,25-34,Widowed,Low,Breakfast,Tuesday,Patamata,Continental
Female,45-54,Divorced,Middle,Dinner,Thursday,Patamata,Continental
Female,55-64,Divorced,Low,Dinner,Thursday,Poranki,Fast Food
Other,45-54,Divorced,High,Lunch,Saturday,Gunadala,South Indian
Male,35-44,Married,Upper-Middle,Dinner,Wednesday,Ramachandra Nagar,Biryani
Other,55-64,Single,High,Snack,Wednesday,Gunadala,Street Food
Male,18-24,Widowed,Middle,Late Night,Thursday,Bhavanipuram,Biryani
Male,55-64,Single,High,Lunch,Sunday,Patamata,Continental
Other,35-44,Single,High,Snack,Thursday,Bhavanipuram,Biryani
Male,18-24,Single,Upper-Middle,Dinner,Saturday,Governorpet,South Indian
Other,55-64,Single,Middle,Snack,Friday,MG Road,Chinese
Female,18-24,Widowed,High,Lunch,Saturday,Patamata,Continental
Male,25-34,Married,High,Breakfast,Wednesday,Ramachandra Nagar,North Indian
Male,45-54,Married,High,Lunch,Monday,One Town,Biryani
Male,35-44,Widowed,Upper-Middle,Snack,Tuesday,MG Road,Street Food
Other,45-54,Married,Middle,Breakfast,Sunday,Benz Circle,Fast Food
Female,35-44,Single,Upper-Middle,Breakfast,Sunday,One Town,Street Food
Male,55-64,Single,Middle,Snack,Wednesday,MG Road,Chinese
Other,35-44,Single,Low,Late Night,Saturday,Poranki,Bakery
Other,55-64,Single,Middle,Breakfast,Monday,MG Road,Chinese
Male,25-34,Widowed,Middle,Late Night,Saturday,Auto Nagar,Biryani
Female,25-34,Married,Low,Breakfast,Saturday,One Town,South Indian
Female,35-44,Divorced,Low,Late Night,Sunday,MG Road,Chinese
Female,35-44,Single,Upper-Middle,Snack,Thursday,Patamata,Continental
Other,45-54,Divorced,Upper-Middle,Breakfast,Saturday,Gunadala,South Indian
Female,55-64,Married,High,Late Night,Monday,Governorpet,South Indian
Other,35-44,Divorced,Low,Snack,Friday,One Town,Street Food
Female,18-24,Divorced,Upper-Middle,Late Night,Thursday,Bhavanipuram,Biryani
Female,55-64,Widowed,Low,Breakfast,Friday,Gunadala,South Indian
Other,35-44,Single,Upper-Middle,Breakfast,Wednesday,Patamata,North Indian
Male,35-44,Widowed,Upper-Middle,Snack,Tuesday,One Town,Street Food
Male,18-24,Single,High,Lunch,Monday,Governorpet,Biryani
Male,25-34,Single,High,Late Night,Tuesday,Ramachandra Nagar,Fast Food
Female,45-54,Married,Low,Snack,Saturday,One Town,Street Food
Male,18-24,Single,Low,Breakfast,Wednesday,Bhavanipuram,Biryani
Other,55-64,Widowed,High,Late Night,Wednesday,MG Road,Chinese
Other,18-24,Single,Low,Late Night,Wednesday,Benz Circle,Fast Food
Other,25-34,Divorced,Middle,Dinner,Wednesday,Gunadala,Biryani
Male,55-64,Widowed,Middle,Breakfast,Wednesday,MG Road,South Indian
Female,55-64,Widowed,Upper-Middle,Late Night,Tuesday,Patamata,Continental
Male,25-34,Single,Upper-Middle,Late Night,Monday,Governorpet,South Indian
Other,55-64,Married,Low,Late Night,Thursday,Gunadala,Fast Food
Other,18-24,Divorced,Upper-Middle,Lunch,Tuesday,One Town,Biryani
Other,55-64,Widowed,Middle,Breakfast,Saturday,Patamata,Continental
Male,18-24,Widowed,High,Lunch,Friday,Auto Nagar,Biryani
Female,35-44,Single,Middle,Breakfast,Saturday,Poranki,Bakery
Other,45-54,Widowed,Low,Late Night,Wednesday,Auto Nagar,Fast Food
Other,55-64,Single,High,Late Night,Wednesday,Poranki,Street Food
Female,25-34,Married,Low,Late Night,Wednesday,Governorpet,South Indian
Male,18-24,Married,Upper-Middle,Snack,Wednesday,Ramachandra Nagar,North Indian
Female,25-34,Divorced,Upper-Middle,Breakfast,Friday,MG Road,Biryani
Male,45-54,Divorced,High,Lunch,Wednesday,Benz Circle,Fast Food
Male,35-44,Single,High,Lunch,Tuesday,Governorpet,Biryani
Female,18-24,Married,Middle,Snack,Saturday,One Town,Street Food
Other,55-64,Widowed,Middle,Lunch,Saturday,Poranki,Bakery
Male,45-54,Married,Low,Breakfast,Friday,MG Road,South Indian
Other,45-54,Single,High,Snack,Monday,One Town,Street Food
Male,35-44,Married,Upper-Middle,Late Night,Monday,Bhavanipuram,Biryani
Other,18-24,Widowed,High,Breakfast,Friday,Gunadala,South Indian
Other,25-34,Single,High,Lunch,Sunday,Bhavanipuram,Biryani
